name;nicknames;description;tokens;properties;referrals;history
2BR-NTB;['2BR-NTB'];Loyal to Norath Kev, the droid 2BR-NTB has a distinct green-and-red paint scheme and sensors attuned to impending danger.;['loyal', 'norath', 'kev', 'droid', '2br-ntb', 'distinct', 'green-and-r', 'paint', 'scheme', 'sensor', 'attun', 'impend', 'danger'];{'Appearances': ['Star Wars Resistance']};;
4-LOM;['4-LOM'];A rusty droid with insectile features, 4-LOM was originally a protocol droid, but logic glitches allowed him to escape his programming and become a bounty hunter. That proved a perfect occupation for the cold, calculating mechanical.;['rusti', 'droid', 'insectil', 'featur', '4-lom', 'origin', 'protocol', 'droid', 'logic', 'glitch', 'allow', 'escap', 'program', 'becom', 'bounti', 'hunter', 'prove', 'perfect', 'occup', 'cold', 'calcul', 'mechan'];{'Appearances': ['Star Wars: The Empire Strikes Back (Episode V)'], 'Dimensions': ['Height: 1.6m '], 'droid': ['Protocol Droid'], 'Weapons': ['Blaster Rifle']};;
4D-M1N;['4D-M1N'];When Captain Doza needs guests escorted into Doza Tower or messages relayed to citizens of the Colossus platform, he calls upon his loyal droid 4D-M1N to act as liaison, rarely leaving the gleaming corridors surrounding his private office and living quarters. ;['captain', 'doza', 'need', 'guest', 'escort', 'doza', 'tower', 'messag', 'relay', 'citizen', 'colossu', 'platform', 'call', 'upon', 'loyal', 'droid', '4d-m1n', 'act', 'liaison', 'rare', 'leav', 'gleam', 'corridor', 'surround', 'privat', 'offic', 'live', 'quarter'];{'Appearances': ['Star Wars Resistance']};;
5-L;['5-L'];A mouse droid serving aboard a First Order Star Destroyer, 5-L is briefly reprogrammed to serve Tam Ryvora on a covert mission to return to her friends aboard the Colossus.;['mous', 'droid', 'serv', 'aboard', 'first', 'order', 'star', 'destroy', '5-l', 'briefli', 'reprogram', 'serv', 'tam', 'ryvora', 'covert', 'mission', 'return', 'friend', 'aboard', 'colossu'];{'Appearances': ['Star Wars Resistance']};;
8D8;['8D8'];A lanky smelter droid, during the time of the Empire 8D8 assisted EV-9D9 in terrorizing Jabba the Hutt's droid operatives. But after the fall of the Empire, under Boba Fett's employ 8D8 was reassigned to assist with strategy and diplomacy.;"['lanki', 'smelter', 'droid', 'time', 'empir', '8d8', 'assist', 'ev-9d9', 'terror', 'jabba', 'hutt', ""'s"", 'droid', 'oper', 'fall', 'empir', 'boba', 'fett', ""'s"", 'employ', '8d8', 'reassign', 'assist', 'strategi', 'diplomaci']";{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)'], 'Locations': ['Tatooine'], 'Dimensions': ['Height: 1.83m '], 'droid': ['Smelter Droid']};;
AP-5;['AP-5'];Proud and honorable, AP-5 was a droid that served as a navigator for the Republic military during the Clone Wars. Following the formation of the Empire, however, he was reassigned to inventory. While the position did not take advantage of his gifts, he performed his duties without complaint -- despite threats and disrespect from his Imperial commanders. It was only after a fateful meeting with the rebel astromech Chopper that AP-5 came to see he did not have to serve the Empire. He helped Chopper escape capture and defected to the rebels, helping find a safe haven away from Imperial forces.;['proud', 'honor', 'ap-5', 'droid', 'serv', 'navig', 'republ', 'militari', 'clone', 'war', 'follow', 'format', 'empir', 'howev', 'reassign', 'inventori', 'posit', 'take', 'advantag', 'gift', 'perform', 'duti', 'without', 'complaint', 'despit', 'threat', 'disrespect', 'imperi', 'command', 'fate', 'meet', 'rebel', 'astromech', 'chopper', 'ap-5', 'came', 'see', 'serv', 'empir', 'help', 'chopper', 'escap', 'captur', 'defect', 'rebel', 'help', 'find', 'safe', 'away', 'imperi', 'forc'];{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Galactic Empire'], 'droid': ['Inventory Droid']};;
ARC Trooper Fives;['ARC Trooper Fives'];Also known as CT-27-5555, Fives trained with Domino Squad on Kamino before being shipped out to the Rishi Moon listening outpost. He survived the Separatist attack on the station there, and was transferred to the 501st Legion alongside his squadmate and fellow survivor, Echo. Fives and Echo were promoted to ARC trooper status after the defense of Kamino from Separatist invaders. He and Echo were later assigned with the difficult mission of freeing Republic prisoners from the daunting Citadel prison installation on Lola Sayu. He and Echo were later part of a mission to free Republic prisoners from the Separatist prison called the Citadel. Echo fell in battle, leaving Fives as Domino Squad’s sole survivor. Fives accompanied the clone trooper Tup to Kamino for medical testing, where he discovered a terrifying secret about the clones’ origins and ultimate purpose.;['also', 'known', 'ct-27-5555', 'five', 'train', 'domino', 'squad', 'kamino', 'ship', 'rishi', 'moon', 'listen', 'outpost', 'surviv', 'separatist', 'attack', 'station', 'transfer', '501st', 'legion', 'alongsid', 'squadmat', 'fellow', 'survivor', 'echo', 'five', 'echo', 'promot', 'arc', 'trooper', 'statu', 'defens', 'kamino', 'separatist', 'invad', 'echo', 'later', 'assign', 'difficult', 'mission', 'free', 'republ', 'prison', 'daunt', 'citadel', 'prison', 'instal', 'lola', 'sayu', 'echo', 'later', 'part', 'mission', 'free', 'republ', 'prison', 'separatist', 'prison', 'call', 'citadel', 'echo', 'fell', 'battl', 'leav', 'five', 'domino', 'squad', 'sole', 'survivor', 'five', 'accompani', 'clone', 'trooper', 'tup', 'kamino', 'medic', 'test', 'discov', 'terrifi', 'secret', 'clone', 'origin', 'ultim', 'purpos'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Pistol', 'Blaster Rifle']};['Kamino', 'Echo', 'Even Piell', 'Tarkin', 'the Citadel', 'Umbara', 'General Pong Krell', 'Umbaran starfighters', 'Ringo Vinda', 'clone trooper Tup', 'Tiplar', 'AZI-3'];
AZI-3;['AZI-3'];AZI-3, the much shorter form of his full designation of AZ-345211896246498721347, is a specialized medical droid programmed to assess injured clone soldiers and deliver even the most ditressing news to his patients on Kamino. His favorite assignments involve hands-on research.;['azi-3', 'much', 'shorter', 'form', 'full', 'design', 'az-345211896246498721347', 'special', 'medic', 'droid', 'program', 'assess', 'injur', 'clone', 'soldier', 'deliv', 'even', 'ditress', 'news', 'patient', 'kamino', 'favorit', 'assign', 'involv', 'hands-on', 'research'];{'Appearances': ['Star Wars: The Bad Batch', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Locations': ['Kamino'], 'droid': ['Medical Droid']};['clone trooper Tup', 'Kaminoans', 'ARC trooper Fives', 'Coruscant'];
Aayla Secura;['Aayla Secura'];With an athletic build, an exotic beauty, and blue skin, Aayla Secura stood out among the many faces of the Jedi ranks. A cunning warrior and Jedi Knight during the rise of the Clone Wars, Aayla fought alongside Clone Commander Bly on many exotic battlefields. Having mastered the emotional detachment necessary in the Jedi Order, she always tried to pass on what she had learned to others. Aayla was killed, along with many other Jedi Generals, when her troops turned on her in reaction to Supreme Chancellor Palpatine’s broadcast of Order 66.    ;['athlet', 'build', 'exot', 'beauti', 'blue', 'skin', 'aayla', 'secura', 'stood', 'among', 'mani', 'face', 'jedi', 'rank', 'cun', 'warrior', 'jedi', 'knight', 'rise', 'clone', 'war', 'aayla', 'fought', 'alongsid', 'clone', 'command', 'bli', 'mani', 'exot', 'battlefield', 'master', 'emot', 'detach', 'necessari', 'jedi', 'order', 'alway', 'tri', 'pass', 'learn', 'other', 'aayla', 'kill', 'along', 'mani', 'jedi', 'gener', 'troop', 'turn', 'reaction', 'suprem', 'chancellor', 'palpatin', 'broadcast', 'order'];"{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Locations': ['Ryloth'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.7m '], 'species': [""Twi'lek""], 'Weapons': ['Lightsaber']}";['Twi’lek', 'Quinlan Vos', 'Anakin Skywalker', 'Obi-Wan Kenobi', 'Geonosis', 'battle droids', 'Clone Commander Bly', 'Ahsoka Tano', 'Felucia', 'Palpatine'];
Adi Gallia;['Adi Gallia'];Jedi Master Adi Gallia was a member of the Order's High Council during the Clone Wars. She and the other members of that ruling body would convene in a temple high above the Coruscant landscape, deciding important matters of the Jedi. Stern and focused, she would remark upon the more outrageous tactics carried out by Anakin Skywalker or Obi-Wan Kenobi in the course of the war, but would rarely condemn their effective actions. Though not as brash as Anakin, Adi Gallia was known to be an aggressive warrior who had no problem bringing the fight to the enemy.;"['jedi', 'master', 'adi', 'gallia', 'member', 'order', ""'s"", 'high', 'council', 'clone', 'war', 'member', 'rule', 'bodi', 'would', 'conven', 'templ', 'high', 'corusc', 'landscap', 'decid', 'import', 'matter', 'jedi', 'stern', 'focus', 'would', 'remark', 'upon', 'outrag', 'tactic', 'carri', 'anakin', 'skywalk', 'obi-wan', 'kenobi', 'cours', 'war', 'would', 'rare', 'condemn', 'effect', 'action', 'though', 'brash', 'anakin', 'adi', 'gallia', 'known', 'aggress', 'warrior', 'problem', 'bring', 'fight', 'enemi']";{'Appearances': ['Star Wars: The Phantom Menace (Episode I)', 'Star Wars: Attack of the Clones (Episode II)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.74m '], 'species': ['Tholothian'], 'Weapons': ['Lightsaber'], 'Vehicles': ['Jedi Starfighter']};['Republic', 'Sith', 'Separatist', 'Anakin Skywalker', 'Florrum', 'Obi-Wan Kenobi', 'Savage Opress', 'lightsaber'];
